payload_commit_msg,repository_language
"Add a meta viewport and we seem to be set for mobile, yay",Python
"merged branch Tobion/command-name (PR #3285) Commits ------- 447d468 restore previous testing style with static fixtures for console 11585c3 fix Command:asXml to use processed help 304e13d replaced command names with supported placeholders in help texts Discussion ---------- using the placeholder in command help texts Replaced the command names with the already supported placeholders `%command.name%` and `%command.full_name%`. Thus preventing typos in future commands based on the existing ones. --------------------------------------------------------------------------- by fabpot at 2012-02-09T06:26:07Z That breaks the unit tests. --------------------------------------------------------------------------- by Tobion at 2012-02-09T17:05:06Z fixed --------------------------------------------------------------------------- by stof at 2012-02-09T17:43:47Z can you rebase your branch please ? it conflicts with master --------------------------------------------------------------------------- by stof at 2012-02-09T17:44:11Z the reason is simple: SwiftmailerBundle is gone :) --------------------------------------------------------------------------- by Tobion at 2012-02-09T23:23:23Z done --------------------------------------------------------------------------- by fabpot at 2012-02-11T23:47:10Z Can you squash your commit before I merge this PR? Thanks. --------------------------------------------------------------------------- by Tobion at 2012-02-12T13:57:14Z I'm unable to squash it into 1 commit because of the uptream commits inside. I hope it's fine now. If not someone needs to help me. --------------------------------------------------------------------------- by stof at 2012-02-12T14:27:38Z ``git rebase -i upstream/master`` should allow you rebasing things and squashing them toghter (changing the action for the second commit to ``squash``) --------------------------------------------------------------------------- by Tobion at 2012-02-12T14:47:29Z first i tried with git rebase -i head~4 (4 commits), but this showed many more external commits. second I tried git reset --soft with a clean commit, but still no success. then I used your proposal. and there are always conflicts of stuff that is not part of my PR. now the diff is messed up... this is frustrating --------------------------------------------------------------------------- by stof at 2012-02-12T14:58:43Z The only reason why the diff is messed is because you messed it when resolving the conflicts by choosing the wrong result for the output. Please fix things as it means that merging your PR would revert changes done previosuly --------------------------------------------------------------------------- by stof at 2012-02-12T15:00:18Z Basically, you reverted most of the changes done in Symfony the few last days. --------------------------------------------------------------------------- by Tobion at 2012-02-12T15:10:59Z I used `git checkout --theirs .` when resolving. Whats the correct way? --------------------------------------------------------------------------- by stof at 2012-02-12T15:13:21Z Well, I generally resolve the conflicts myself instead of asking git to use one version, as generally the final code is not one of the versions by a mix of both versions (as both sides are likely to have done useful changes) --------------------------------------------------------------------------- by Tobion at 2012-02-12T15:15:02Z Yes but the conflicts are in files I never touched and that are not part of my changes. I cannot resolve hundreds of files by hand. --------------------------------------------------------------------------- by Tobion at 2012-02-12T15:41:31Z Finally it worked. I used git reset head~1 and then discarded all foreign changes. There you go. --------------------------------------------------------------------------- by Tobion at 2012-02-14T14:06:04Z @fabpot ping --------------------------------------------------------------------------- by Tobion at 2012-02-20T18:20:50Z @fabpot ping --------------------------------------------------------------------------- by stof at 2012-03-02T22:14:49Z @Tobion the branch needs to be rebased. It conflicts with master --------------------------------------------------------------------------- by Tobion at 2012-03-21T04:22:10Z All done. I don't want to squash commits because they are self-contained fixes and changes that might be needed for future references (like the dynamic tests for -`>run()`).",PHP
"Yay, categorized uploader is now finished.",PHP
"[TwigBundle] Changed getAndCleanOutputBuffering() handling of systems where ob_get_level() never returns 0 Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: [![Build Status](https://secure.travis-ci.org/lencioni/symfony.png)](http://travis-ci.org/lencioni/symfony) Fixes the following tickets: - Todo: - Relying on decrementing a counter has two problems. First, and most importantly, if the output buffering nesting level is greater than the counter, the function does not perform the expected task. Secondly, on systems where the counter is needed, a lot of unnecessary extra loops would potentially occur. This approach checks to see if the level has stayed the same from the previous iteration and if it has it stops looping.",PHP
[oh god] needed to add the gwt dev and user libs to SVN. :/ [fixed] build scripts to build gwt backend. That took like 5 minutes. Hurray build system :D git-svn-id: https://libgdx.googlecode.com/svn/trunk@3629 6c4fd544-2939-11df-bb46-9574ba5d0bfa,C
[oh god] needed to add the gwt dev and user libs to SVN. :/ [fixed] build scripts to build gwt backend. That took like 5 minutes. Hurray build system :D git-svn-id: https://libgdx.googlecode.com/svn/trunk@3629 6c4fd544-2939-11df-bb46-9574ba5d0bfa,C
Setting the preferedSize to CGRectZero now also sets the adjustBackgroundImage to YES,Objective-C
build and run on ubuntu! yay,C++
"Working hello world implementation. - Found out that D already provides stat.d and stuff, but I also figured out that their definition was not correct at least at my 64 bit system. - Used Ds system .di files, where appropriate and possible. - Rethink the mapping of Cs pointers to D arrays, because the following seems causes a segfault with an array that points to a C pointer contents: my_arr[]=some_other_data[0..10]; (yes my_arr has a capacity greater than 10.) -> Fix D's stat.di and maybe also polish and submit statvfs.d",D
yay i did a modified square thingie YEAHHgit status! feel like a pimp,Python
"FIXED JENKINS-13076 included an extra checkbox to enable notes. They are disabled by default. The bug, that didn't display notes has been solved as well. Yay, time for a beer.",Java
- Added LWJGL Sequencer (to animate textures) - Added FengGUI CSS theme demo (with ugly background! Yay),Java
We're a real project! Yay! This adds a LICENSE file so people finding the project know where we stand.,C++
"Support for anonymous posts improved [ui feature] Anonymous posting and editing now allowed. I have considered whether taking over anonymous messages and making one's own messages anonymous should be allowed. For now, I decided in the former case, the answer is yes, so anyone can take over anonymous messages as a further incentive towards registering :) However, I think that disowning messages is a situation that can be perfectly valid at times, but it should at least be considered by the heap's owner or an administrator.",Python
"Merge pull request #7 from itfrombit/master Sorry for the delay on this -- yes, this was a good catch.",C
Pretty proud I created a SMIL player that already works this great. WIP.,Python
Yay! First code drop.,Java
"ObjectCacher: add a bunch of perfcounters Hurray, we can collect cache statistics! Signed-off-by: Greg Farnum <gregory.farnum@dreamhost.com>",C++
"Updated to before pg shit. Yes, I hate pg. pg needs to die.",Ruby
"Yay, more decomposition done, a few odds and ends left, plus branching",C
yay comments!,Java
Merge pull request #49 from cp16net/readme-update4 update readme with reclone=yes and kick-start/build-image mysql,Python
"yes, that stupid",Java
"The PHP commit. Yes, THE one.",Python
"merged branch jalliot/acl_proxies-2 (PR #3826) Commits ------- 6483d88 [Security][ACL] Fixed ObjectIdentity::fromDomainObject and UserSecurityIdentity::from(Account|Token) when working with proxies Discussion ---------- [WIP] Fixed ACL handling of Doctrine proxies Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: [![Build Status](https://secure.travis-ci.org/jalliot/symfony.png?branch=acl_proxies-2)](http://travis-ci.org/jalliot/symfony) Fixes the following tickets: #3818, #2611, #2056, #2048, #2035 and probably others Todo: Fix tests, update changelog Hi, As per @fabpot's request, here is #3818 ported to `master`. > Here is a new attempt to fix all the issues related to Symfony ACL identities and Doctrine proxies. > It only fixes the issue for Doctrine >=2.2 (older versions of Doctrine will still not work properly with ACL because `Doctrine\Common\Util\ClassUtils` didn't exist before and proxy naming strategy was not consistent between all Doctrine implementations (ORM/ODM/etc.)). /cc @schmittjoh @beberlei --------------------------------------------------------------------------- by schmittjoh at 2012-04-09T00:07:52Z I'm -1 on adding a dependency on the Doctrine class. The naming scheme was designed in a generic way, we should just copy the method. --------------------------------------------------------------------------- by jalliot at 2012-04-09T00:13:07Z @schmittjoh The ACL component requires Doctrine DBAL already (and as such Common) so I don't think this is really an issue at the moment. If (when?) the component is refactored to be decoupled from Doctrine, then maybe we will have to change that. But I can also copy the class (where?) if you think it is better :) --------------------------------------------------------------------------- by schmittjoh at 2012-04-09T01:01:27Z I'd suggest ``Symfony\Component\Security\Core\Util\ClassUtils``. --------------------------------------------------------------------------- by jalliot at 2012-04-09T11:16:19Z @fabpot @schmittjoh It's done: I've backported the ClassUtils class and its tests from Doctrine Common into the Security component. Maybe this PR can be merged into 2.0 as well now, what do you think? --------------------------------------------------------------------------- by oscherler at 2012-04-11T06:27:20Z There seems to be a consensus that ACLs don’t (fully?) work with Doctrine < 2.2, i.e. in Symfony 2.0. Can it therefore be documented somewhere, typically on the main documentation page on the subject? http://symfony.com/doc/current/cookbook/security/acl.html --------------------------------------------------------------------------- by jalliot at 2012-04-11T07:36:25Z @oscherler You can make ACL work with Doctrine < 2.2 and without this patch if you use something like this code (note this is for ORM only but it can be adapted for ODM; it also assumes that your identifier can be retrieved with `getId()`): ``` php <?php use Doctrine\ORM\Proxy\Proxy; use Symfony\Component\Acl\Domain\ObjectIdentity; $domainObject = ... // some Doctrine entity (maybe a proxy...) if ($domainObject instanceof Proxy) { $objectIdentity = new ObjectIdentity($domainObject->getId(), get_parent_class($domainObject)); } else { $objectIdentity = new ObjectIdentity($domainObject->getId(), get_class($domainObject)); } ``` It is ugly but it is the only way to get the correct identity for < 2.2. Never use `ObjectIdentity::fromDomainObject` with a proxy and without this patch! The same applies to `UserSecurityIdentity`. This should indeed be documented in the doc for 2.0. /cc @weaverryan --------------------------------------------------------------------------- by jalliot at 2012-04-11T22:34:37Z I just fixed the tests and squashed the commits. I didn't write a test for `UserSecurityIdentity::fromAccount` and `fromToken` because I didn't really have time to look for a clean solution (without creating a full UserInterface implementation for instance...). Anyway the test for `ObjectIdentity::fromDomainObject` should be enough I guess... Don't hesitate to add one if you think it is necessary. /cc @schmittjoh @fabpot Apart from @beberlei approval to use MIT license, I think it is ready for merge.",PHP
merged branch Tobion/generator-cache (PR #3892) Commits ------- 03d30fd [Routing] remove duplicated cache of compiled routes Discussion ---------- [Routing] remove duplicated cache of compiled routes The UrlGenerator caches compiled routes for generating URLs. But the Route class caches it's compiled route itself as long as it does not get modified. So compiled routes are cached twice which makes no sense in my opinion. Test pass: yes BC break: no,PHP
merged branch Tobion/generator-cache (PR #3892) Commits ------- 03d30fd [Routing] remove duplicated cache of compiled routes Discussion ---------- [Routing] remove duplicated cache of compiled routes The UrlGenerator caches compiled routes for generating URLs. But the Route class caches it's compiled route itself as long as it does not get modified. So compiled routes are cached twice which makes no sense in my opinion. Test pass: yes BC break: no,PHP
Added player move blocking to arenas. Yay! First actual implementation of Arenas :D,Java
omg massive update yay,Java
Adding argument to control the loading of CSS styles --load-styles=[yes|no],C++
merged branch bschussek/issue3635 (PR #3820) Commits ------- 65aa387 [Form] Fixed index generation in EntityChoiceList if ID is not an integer Discussion ---------- [Form] Fixed index generation in EntityChoiceList if ID is not an integer Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: #3635 Todo: - ![Travis Build Status](https://secure.travis-ci.org/bschussek/symfony.png?branch=issue3635),PHP
"merged branch tvlooy/GetSetMethodNormalizer (PR #3582) Commits ------- 039ff6f allow more control on GetSetMethodNormalizer by using callback functions and an ignoreAttributes list Discussion ---------- allow more control on GetSetMethodNormalizer Here is an other attempt. You would use this as follows: $serializer = new \Symfony\Component\Serializer\Serializer( array(new \Symfony\Component\Serializer\Normalizer\GetSetMethodNormalizer()), array('json' => new \Symfony\Component\Serializer\Encoder\JsonEncoder()) ); $callbacks = array('books' => function ($books) { return NULL; }); return new Response( $serializer->serialize($paginator->getRows(), 'json', $callbacks), 200, array('Content-Type' => 'application/json') ); Besides of returning NULL, you could also do things like: $callbacks = array( 'books' => function ($books) { $ids = array(); foreach ($books as $book) { $ids[] = $book->getId(); } return $ids; }, 'author' => function ($author) { return $author->getId(); }, 'creationDate' => function ($creationDate) { return $creationDate->format('d/m/Y'); }, ); The commit is not complete yet. But at this point I am interested in your opinions. --------------------------------------------------------------------------- by lsmith77 at 2012-03-12T22:53:18Z in general i agree that using a callback is a good solution to provide more power without complicating the API or implementation in this case. please add a test case, this should also help illustrate how this can be used in practice. --------------------------------------------------------------------------- by schmittjoh at 2012-03-13T04:54:33Z Note that your change breaks the API defined by the interface, i.e. someone using this method needs to type-hint the serializer implementation, not the interface. It also adds a parameter to the public API of the serializer which will only work with one specific normalizer. What if another normalizer needs additional information, should another parameter be added to the serialize method? What about deserialization? Bottom line is, the serializer component was simply not designed for this kind of thing. I've tried to make it more flexible before creating the bundle, but some things simply cannot be fixed in a sane way. --------------------------------------------------------------------------- by tvlooy at 2012-03-13T06:07:45Z Would just adding a setCallbacks() to the GetSetMethodNormalizer be a better solution? That doesn't touch the API. I will try to write some tests this evening. --------------------------------------------------------------------------- by schmittjoh at 2012-03-13T16:22:50Z That would definitely be better. You would then need to retrieve the normalizer instance before calling ``serialize`` on the serializer which also leaves a stale taste, but I have no other solution for now. --------------------------------------------------------------------------- by tvlooy at 2012-03-13T21:32:26Z So, this should be it then. Yet an other usage example: $normalizer = new \Symfony\Component\Serializer\Normalizer\GetSetMethodNormalizer(); $normalizer->setCallbacks( array( 'books' => function ($books) { $ids = array(); foreach ($books as $book) { $ids[] = $book->getId(); } return $ids; }, ) ); $serializer = new \Symfony\Component\Serializer\Serializer( array($normalizer), array('json' => new \Symfony\Component\Serializer\Encoder\JsonEncoder()) ); return new Response( $serializer->serialize($paginator->getRows(), 'json'), 200, array('Content-Type' => 'application/json') ); --------------------------------------------------------------------------- by tvlooy at 2012-03-18T21:16:48Z Anything else needed for this to get pulled in? --------------------------------------------------------------------------- by tvlooy at 2012-03-19T18:33:58Z Hm, I like to keep it that way because I like the fact that not passing a callable will result in a warning instead of silently skipping it. You don't get that behaviour by treating it as null. --------------------------------------------------------------------------- by vicb at 2012-03-19T23:15:37Z I was unclear: the code should throw an exception when an element is not callable, this is why `null` will not be supported any more (it is not a callback as the `setCallbacks` indicate). They are several way to support the former behavior: * the cb can return a defined interface, * the cb can throw a defines exc, * by adding a `setIgnoredAttributes` method Please also squash your commits. --------------------------------------------------------------------------- by tvlooy at 2012-03-20T21:02:06Z Yes, I like the setIgnoredAttributes solution. I changed it and squashed the commits. --------------------------------------------------------------------------- by tvlooy at 2012-03-26T20:07:36Z some improvements and squashed the commits --------------------------------------------------------------------------- by stof at 2012-04-03T22:36:15Z @tvlooy Please rebase your branch. It conflicts with master because of the move of tests. --------------------------------------------------------------------------- by tvlooy at 2012-04-04T07:43:47Z @stof I will do it on saturday, if that is ok with you. --------------------------------------------------------------------------- by fabpot at 2012-04-10T18:29:30Z Is it mergeable now? ping @Seldaek, @schmittjoh. --------------------------------------------------------------------------- by tvlooy at 2012-04-10T18:55:04Z yes, it should be",PHP
"merged branch tvlooy/GetSetMethodNormalizer (PR #3582) Commits ------- 039ff6f allow more control on GetSetMethodNormalizer by using callback functions and an ignoreAttributes list Discussion ---------- allow more control on GetSetMethodNormalizer Here is an other attempt. You would use this as follows: $serializer = new \Symfony\Component\Serializer\Serializer( array(new \Symfony\Component\Serializer\Normalizer\GetSetMethodNormalizer()), array('json' => new \Symfony\Component\Serializer\Encoder\JsonEncoder()) ); $callbacks = array('books' => function ($books) { return NULL; }); return new Response( $serializer->serialize($paginator->getRows(), 'json', $callbacks), 200, array('Content-Type' => 'application/json') ); Besides of returning NULL, you could also do things like: $callbacks = array( 'books' => function ($books) { $ids = array(); foreach ($books as $book) { $ids[] = $book->getId(); } return $ids; }, 'author' => function ($author) { return $author->getId(); }, 'creationDate' => function ($creationDate) { return $creationDate->format('d/m/Y'); }, ); The commit is not complete yet. But at this point I am interested in your opinions. --------------------------------------------------------------------------- by lsmith77 at 2012-03-12T22:53:18Z in general i agree that using a callback is a good solution to provide more power without complicating the API or implementation in this case. please add a test case, this should also help illustrate how this can be used in practice. --------------------------------------------------------------------------- by schmittjoh at 2012-03-13T04:54:33Z Note that your change breaks the API defined by the interface, i.e. someone using this method needs to type-hint the serializer implementation, not the interface. It also adds a parameter to the public API of the serializer which will only work with one specific normalizer. What if another normalizer needs additional information, should another parameter be added to the serialize method? What about deserialization? Bottom line is, the serializer component was simply not designed for this kind of thing. I've tried to make it more flexible before creating the bundle, but some things simply cannot be fixed in a sane way. --------------------------------------------------------------------------- by tvlooy at 2012-03-13T06:07:45Z Would just adding a setCallbacks() to the GetSetMethodNormalizer be a better solution? That doesn't touch the API. I will try to write some tests this evening. --------------------------------------------------------------------------- by schmittjoh at 2012-03-13T16:22:50Z That would definitely be better. You would then need to retrieve the normalizer instance before calling ``serialize`` on the serializer which also leaves a stale taste, but I have no other solution for now. --------------------------------------------------------------------------- by tvlooy at 2012-03-13T21:32:26Z So, this should be it then. Yet an other usage example: $normalizer = new \Symfony\Component\Serializer\Normalizer\GetSetMethodNormalizer(); $normalizer->setCallbacks( array( 'books' => function ($books) { $ids = array(); foreach ($books as $book) { $ids[] = $book->getId(); } return $ids; }, ) ); $serializer = new \Symfony\Component\Serializer\Serializer( array($normalizer), array('json' => new \Symfony\Component\Serializer\Encoder\JsonEncoder()) ); return new Response( $serializer->serialize($paginator->getRows(), 'json'), 200, array('Content-Type' => 'application/json') ); --------------------------------------------------------------------------- by tvlooy at 2012-03-18T21:16:48Z Anything else needed for this to get pulled in? --------------------------------------------------------------------------- by tvlooy at 2012-03-19T18:33:58Z Hm, I like to keep it that way because I like the fact that not passing a callable will result in a warning instead of silently skipping it. You don't get that behaviour by treating it as null. --------------------------------------------------------------------------- by vicb at 2012-03-19T23:15:37Z I was unclear: the code should throw an exception when an element is not callable, this is why `null` will not be supported any more (it is not a callback as the `setCallbacks` indicate). They are several way to support the former behavior: * the cb can return a defined interface, * the cb can throw a defines exc, * by adding a `setIgnoredAttributes` method Please also squash your commits. --------------------------------------------------------------------------- by tvlooy at 2012-03-20T21:02:06Z Yes, I like the setIgnoredAttributes solution. I changed it and squashed the commits. --------------------------------------------------------------------------- by tvlooy at 2012-03-26T20:07:36Z some improvements and squashed the commits --------------------------------------------------------------------------- by stof at 2012-04-03T22:36:15Z @tvlooy Please rebase your branch. It conflicts with master because of the move of tests. --------------------------------------------------------------------------- by tvlooy at 2012-04-04T07:43:47Z @stof I will do it on saturday, if that is ok with you. --------------------------------------------------------------------------- by fabpot at 2012-04-10T18:29:30Z Is it mergeable now? ping @Seldaek, @schmittjoh. --------------------------------------------------------------------------- by tvlooy at 2012-04-10T18:55:04Z yes, it should be",PHP
Coordinates bingo.,Perl
"merged branch kmohrf/ticket_2827_validator_mail_A_RR_DNS_hostcheck (PR #3799) Commits ------- f617e02 [Validator] added less-strict email host verification Discussion ---------- [Validator] added less-strict email host verification uhhhhh, my first pull request :>. uhm... tell me if i did something wrong :) #### Request info Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes... well,not really (i guess master branch is not passing - at least i didnt broke the email test) Fixes the following tickets: #2827 #### Description New checkHost attribute in email constraint will make the validator check for only one of MX, A or AAAA DNS resource records to verify it as a valid email address.",PHP
"merged branch kmohrf/ticket_2827_validator_mail_A_RR_DNS_hostcheck (PR #3799) Commits ------- f617e02 [Validator] added less-strict email host verification Discussion ---------- [Validator] added less-strict email host verification uhhhhh, my first pull request :>. uhm... tell me if i did something wrong :) #### Request info Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes... well,not really (i guess master branch is not passing - at least i didnt broke the email test) Fixes the following tickets: #2827 #### Description New checkHost attribute in email constraint will make the validator check for only one of MX, A or AAAA DNS resource records to verify it as a valid email address.",PHP
Merge pull request #1168 from julapy/bugfix-1097-skip-install bugfix SKIP_INSTALL set to YES,C
"merged branch jakzal/FilesystemMirrorCleanup (PR #3844) Commits ------- efad5d5 [Filesystem] Prevented infiite loop on windows while calling mirror on symlink. Added test for mirroring symlinks. Discussion ---------- [Filesystem] Prevented infinite loop on windows while mirrorring symlinks First check for filetype in *mirror()* method is: if (is_link($file)) { $this->symlink($file, $target); later we see: } elseif (is_file($file) || ($copyOnWindows && is_link($file))) { $this->copy($file, $target, isset($options['override']) ? $options['override'] : false); The later check for links on windows (*$copyOnWindows && is_link($file)*) won't ever get called. Calling *symlink()* in *mirror()* on windows would lead to calling *mirror()* again. Note that I didn't actually try running it on windows platform. I added a test for mirroring symlinks (non-windows test). I think it'd be good if someone added some windows specific tests to this class. I also modified the target path: $target = $targetDir.'/'.str_replace($originDir.DIRECTORY_SEPARATOR, '', $file->getPathname()); It didn't use DIRECTORY_SEPARATOR and is equivalent to: $target = str_replace($originDir, $targetDir, $file->getPathname()); Bug fix: yes Feature addition: no Backwards compatibility break: no Symfony2 tests pass: yes Fixes the following tickets: ~ Todo: ~",PHP
"merged branch hason/validator (PR #552) Commits ------- f9a486e [Validator] Added support for pluralization of the SizeLengthValidator c0715f1 [FrameworkBundle], [TwigBundle] added support for form error message pluralization 7a6376e [Form] added support for error message pluralization 345981f [Validator] added support for plural messages Discussion ---------- [Validator] Added support for plural error messages Bug fix: no Feature addition: yes Backwards compatibility break: no Symfony2 tests pass: yes Todo: create translations for en and update others (FrameworkBundle) [![Build Status](https://secure.travis-ci.org/hason/symfony.png?branch=validator)](http://travis-ci.org/hason/symfony) --------------------------------------------------------------------------- by fabpot at 2011-05-14T20:41:01Z @bschussek: What's your opinion? --------------------------------------------------------------------------- by stof at 2011-09-04T13:14:29Z @hason could you rebase your branch on top of master and update the PR ? You also need to change the messages in the constraint that uses the pluralization to a pluralized format. --------------------------------------------------------------------------- by stof at 2011-10-16T18:06:22Z @hason ping --------------------------------------------------------------------------- by stof at 2011-11-11T14:58:19Z @hason ping again --------------------------------------------------------------------------- by stof at 2011-12-12T20:39:10Z @hason ping again. Can you update your PR ? --------------------------------------------------------------------------- by hason at 2011-12-12T21:29:14Z @stof I hope that I will update PR this week. --------------------------------------------------------------------------- by bschussek at 2012-01-15T19:07:32Z Looks good to me. --------------------------------------------------------------------------- by canni at 2012-02-02T17:28:54Z @hason can you update this PR and squash commits, it conflicts with current master --------------------------------------------------------------------------- by hason at 2012-02-09T07:21:41Z @stof, @canni Rebased. What is the best solution for the translation of messages? 1. Change messages in the classes and all xliff files? 2. Keep messages in the classes and change all xliff files? --------------------------------------------------------------------------- by stof at 2012-02-09T08:19:41Z The constraints contain the en message so you will need to modify them to update the message --------------------------------------------------------------------------- by hason at 2012-02-09T08:55:55Z I prefer second option. The Validator component should be decoupled from the Translation component. The constraints contain the en message which is also the key for Translation component. We should create validators.en.xlf in the FrameworkBundle for en message. I think that this is better solution. What do you think? --------------------------------------------------------------------------- by stof at 2012-04-04T02:22:02Z @hason Please rebase your branch. It conflicts with master because of the move of the tests @fabpot ping",PHP
"merged branch bschussek/issue3354 (PR #3789) Commits ------- 8329087 [Form] Moved calculation of ChoiceType options to closures 5adec19 [Form] Fixed typos cb87ccb [Form] Failing test for empty_data option BC break b733045 [Form] Fixed option support in Form component Discussion ---------- [Form] Fixed option support in Form component Bug fix: yes Feature addition: no Backwards compatibility break: yes Symfony2 tests pass: yes Fixes the following tickets: #3354, #3512, #3685, #3694 Todo: - ![Travis Build Status](https://secure.travis-ci.org/bschussek/symfony.png?branch=issue3354) This PR also introduces a new helper `DefaultOptions` for solving option graphs. It accepts default options to be defined on various layers of your class hierarchy. These options can then be merged with the options passed by the user. This is called *resolving*. The important feature of this utility is that it lets you define *lazy options*. Lazy options are specified using closures that are evaluated when resolving and thus have access to the resolved values of other (potentially lazy) options. The class detects cyclic option dependencies and fails with an exception in this case. For more information, check the inline documentation of the `DefaultOptions` class and the UPGRADE file. @fabpot: Might this be worth a separate component? (in total the utility consists of five classes with two associated tests) --------------------------------------------------------------------------- by beberlei at 2012-04-05T08:54:10Z ""The important feature of this utility is that it lets you define lazy options. Lazy options are specified using closures"" What about options that are closures? are those differentiated? --------------------------------------------------------------------------- by bschussek at 2012-04-05T08:57:35Z @beberlei Yes. Closures for lazy options receive a Symfony\Component\Form\Options instance as first argument. All other closures are interpreted as normal values. --------------------------------------------------------------------------- by stof at 2012-04-05T11:09:49Z I'm wondering if these classes should go in the Config component. My issue with it is that it would add a required dependency to the Config component and that the Config component mixes many different things in it already (the loader part, the resource part, the definition part...) --------------------------------------------------------------------------- by sstok at 2012-04-06T13:36:36Z Sharing the Options class would be great, and its more then one class so why not give it its own Component folder? Filesystem is just one class, and that has its own folder. Great job on the class bschussek :clap: --------------------------------------------------------------------------- by bschussek at 2012-04-10T12:32:34Z @fabpot Any input? --------------------------------------------------------------------------- by bschussek at 2012-04-10T13:54:13Z @fabpot Apart from the decision about the final location of DefaultOptions et al., could you merge this soon? This would make my work a bit easier since this one is a blocker. --------------------------------------------------------------------------- by fabpot at 2012-04-10T18:08:18Z @bschussek: Can you rebase on master? I will merge afterwards. Thanks.",PHP
