payload_commit_msg,repository_language
removed crap from VanillaOption class,Python
"Fix coordinate screw up on spawn marker (thanks, fernferret!)",Java
"Address some review comments from Duncan. This moves the iterative offset accumulation to use a boring APInt instead of ConstantExprs. I didn't go all the way to an 'int64_t' because I wanted APInt to handle any magic required to properly wrap the arithmetic when the pointer width is <64 bits. If there is a significant penalty from using APInt here, first off WTF, and secondly let me know and I'll do the math by hand. I've left one layer still operating w/ ConstantExpr because it makes the interface quite a bit simpler, and that one isn't iterative so has much lower cost. I suppose this may potentially speed up some strang compilation situations, but I don't really expect much. It should have no functional impact either way. git-svn-id: https://llvm.org/svn/llvm-project/llvm/trunk@152590 91177308-0d34-0410-b5e6-96231b3b80d8",C++
Clarify wtf Pusher is doing and why I want it.,Ruby
clarify further the brokenness of C++. why the fuck are we using C++?,Haskell
Merge pull request #113 from calebthompson/explain-pusher Clarify wtf Pusher is doing and why I want it.,Ruby
"Légère amélioration suivi ligne * Oups, wtf i did?",Arduino
fuck glew,C
"Mapped leader to , removed mouse shit and added some mapping for resizing a split buffer",Haskell
God damn .DS_Store,Python
Damn ISSS big menus,PHP
sorted out image crap,Clojure
Damn ISSS big menus,PHP
Damn ISSS big menus,PHP
fucking white space,PHP
Damn ISSS big menus,PHP
Damn ISSS big menus,PHP
"love2d.org skin for php files, upload form added to main php file so you can upload .love files and it'll unzip and make everything automatically. This is very unsafe though, dont use it on a public website, but for testing locally it is useful. The code is awful, especially the css, i'll probably re do everything in the future so it dosen't suck as much :P",JavaScript
"no more opener since I've been having weird problems with it, other than that it does mushrooms while moving and shift to immediately plant more (up to 3) and /focus something to rape.... uhhhh yuup... Been doing pretty ok with this in shit gear",Lua
first organization fuck yeah!,Ruby
Adds fucking smooth interpolation.,JavaScript
Added (crappy) About view,C#
dunno what i should say about this shit. Have fun.,Java
wtf,Java
hamid kick my lazy ass for it. fix bless for all party members.,C++
"Added crappy victory screen placeholder art, added victorystate and game restart loop.",ActionScript
New values for empathic agents New method for calculating WTH,Java
Solves for current through each component. how the fuck do I get the voltage at a point??,Python
"Merge branch 'master' of github.com:djbe/ElectroJam Also replace sound pool by mediaplayer, that shit never works correctly Conflicts: res/layout/instrument_looper.xml src/com/davidjennes/ElectroJam/TestActivity.java",Java
fuck load,C
fuck load,C
"fix whitespaces, damn editor",Python
"Damn, let's try again.",Python
corrdinaat shit,Java
Editor shit,C#
"Make the tapping already there step actually work For when the symlink for a tap already exists and points to the thing we are about to symlink. This can happen, mostly because my code has sucked, but since the filesystem can be edited by the user at whim, it's possible then too.",Ruby
just cleaned up the warnings - shit was pissing me off,ActionScript
fuck you ie,JavaScript
"put in the forever daemon as a node module for the purposes of live deployment. god, what a fucking pain in the ass",JavaScript
deleted hell-gem,Ruby
removed windows shit from vimrc,VimL
some shit,JavaScript
Fuck code folding,VimL
added some shit,JavaScript
god damn,Ruby
Adding some minor additions before removing IDEA project crap.,Scala
Damn maven-release-plugin !,Java
trying to fix shit.,Java
useless commit message because fuck you,C
RErerererefix toString I was hell confused….. and then it turns out the RC thing may be my fault? I DONNO. It works now so that's all that matters.,Java
coffeescript this shit,JavaScript
Fix it damn it,Ruby
nested validations are fucking kewl.,Ruby
markup shit,PHP
add some tab shit and also add colors for command line git repo,Shell
...pissed already,Python
Scrapped old project and stated new shit,PHP
stupid workout shit,Python
fixxed nullpointer for scope shit,Java
"Added a delay to ResourceManager::file_changed Wait until we don't get any more file events before invoking the callback, to avoid the usual crap where the file monitor sends tons of events for the same logical change.",C++
don't touch this fucking font size.,Emacs Lisp
notification WTF,Java
add screen-256color terminfo files for solaris ... because Solaris is too ass-backward to do anything that Bill Joy wasn't able to basically do in the 80s.,Perl
Fuck,PHP
Damn ISSS big menus,PHP
shit,JavaScript
"Shit son, it works. Signed-off-by: Edward Z. Yang <ezyang@mit.edu>",Haskell
shit,JavaScript
shit,JavaScript
i suck at markdown,Java
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
"Grinding through the new wallet stuff. The necessity to handle both compressed and uncompressed keys is really complicating the hell out of the address class. Hopefully, the wallet class will be much simpler and not have to deal with it, transparent due to a smart address class...",C++
shit,JavaScript
shit,JavaScript
Trying to undo the crap.,Ruby
fucking crap,Python
Added a shit ton of comments to pages without adequate documentation.,PHP
"Fixed direct lighting issues (hacks, just for testing purposes). We cos*cos term when sampling area light, but PBRT doesn't seem to mention it. Specular is still broken as hell. Also added validation",C
Migrated to PostgreSQL because of Mysql was fucked.,Ruby
hell yeah we got weather,JavaScript
1.8 bullshit,Ruby
set preferred size of main window.save dialog has a bug. i am fucking bug cather)))need to sleep.buy all :D,Java
commiting bullshit,Python
removing commited bullshit,Python
"These unicode characters aren't available on Windows. I just spent the last hour trying to get icon images in a Flex grid. Fuck it, replace with text.",ActionScript
"Some gps stuff, Nothing work... damn it... BUT, i'm on it!",C
Reworked Gemini Commander main Form to get rid of all the focuser 2 crap and add Rotator crap,C#
"Fix favicon, broken in the Pinion change. I screwed up hard. Won't happen again.",Ruby
"Merge pull request #209 from Kenny9999/KennyAQDevelopment Some gps stuff, Nothing work... damn it... BUT, i'm on it!",C
removing all of the ucfront crap,C
finally fixed that damn kerning issue,VimL
Make the build system kick-ass,C++
cleaned crap,Java
adding a sweet ass design to this shit,CoffeeScript
"Display controls, bitch. Rack city bitch rack rack city bitch",Python
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
shit,JavaScript
"IT'S DONE. OH GOD IT'S FINALLY DONE. I CAN REST NOW. DAMN YOU LEVEL LOADER, DAMN YOU TO HELL.",C
shit,JavaScript
i suck at markdown,Java
shit,JavaScript
shit,JavaScript
client shit,C++
"Removes ""randomfuturamaquote()"" in .bashrc Doesn't work anymore so screw it.",VimL
WTF: Added missing files,Java
damn you CTRL + X!!!,Java
Fuck you,Ruby
add gitignore to stop filling repo with object crap,C
removed mac crap,Emacs Lisp
damn,Java
fucking filename change,C++
Stupid shit that isnt working,Java
fucking filename change,C++
"Revert ""export CC for the weird ghetto gcc-4.2 bullshit on xcode 4.3"" This reverts commit 3b5a97edff814811e83700ab9dcac6dbf6791e8a.",Ruby
fucking filename change,C++
niggers in my ass,Java
Post: Open Offices Suck,Ruby
removed fucking references,JavaScript
just fucking up the file for the lulz,Java
"You know when you read something you wrote a long time ago and are like ""wtf was i thinking"" ...yeah",JavaScript
+ Broken all the internet rules. FUCK YOU H1,PHP
crap,PHP
crappy,PHP
ignore mac crap,Ruby
Minor fucking update,Java
adding sequence file and more shit,Python
removed crap post.,Ruby
this is bullshit -- puppet sucks,Puppet
What the hell past me,Python
fix crap,JavaScript
fix crap,JavaScript
WTF,PHP
fix crap,JavaScript
Bad programmer! Left crap in the code.,Python
"Fixed bug in ppxf This bug has been there for at least a year, where it would screw up if you called log_rebin twice with the same VELSCALE variable. So I just commented that out.",Prolog
wtf,Python
fix crap,JavaScript
fix crap,JavaScript
"Finally fixed my threading woes. It looked like I was going to have to record lock (recommended by the GNU C manual for my situation) or use mutexes, which would destroy most of the point of threading. However, if you explicitly create unique file descriptors from the same file, they have different file pointers running through the same file, so you can work them to their respective offsets without them conflicting, even if they happen to be passing through at the same time. Hell yes.",C++
"fucking destroyed number 4, 5.408612",Ruby
fuck,JavaScript
checking stats + fixes needed for it o adding stats in test script o fixing open_table o fixing crappy rounding math I had everywhere,C
fix crap,JavaScript
"weirdest plural email thing, i blame ruby mine... and now i remember exactly how it happened. DAMN REFACTOR",Ruby
[config]minnor fixes for heroku line 92 of hell,Ruby
fix crap,JavaScript
Because otherwise Pixels will be pissed.,JavaScript
p930: Fix ENDCALL event from powerkey why the hell does it generate 2 separate scanCodes for short/long...,C
"Same shit, added begin button class",ActionScript
Update the deploy file for the new server. Up the upload size limit now that the server doesn't suck.,Ruby
Update the deploy file for the new server. Up the upload size limit now that the server doesn't suck.,Ruby
Crap.,JavaScript
aaaaannndddd... trying to fix readme. i suck.,Objective-C
sheel made me screw up my tests,Ruby
"Bug 733984 - Use the Location security policy even for content accessing chrome. r=mrbkap I'm adding asserts about when we do and don't have a Location object behind the wrapper, and this case was hitting them. What we do here doesn't so much matter given how this stuff all works. On the one hand, statically using a restrictive policy is slightly more defense-in-depth. On the other hand, if this stuff is broken we're screwed in much more serious ways than content reading chrome locations, and using a consistent wrapper scheme allows us to make stronger asserts and assumptions. I opted for stronger assumptions and more understandable security code. If Blake feels strongly though, I could go the other way and sprinkle '|| isChrome(obj)' throughout the asserts though.",C++
fix crap,JavaScript
fix shit,Python
removed some of the crappy code I wrote,C++
mudei o fucking readme,PHP
"World data access now works as it should, but the physics are all kinds of fucked. Looks like it's running way, way too fast.",C++
robs shit,Java
What a fucking nice bunch of files,C
im fucked,Shell
"Okay, fuck it. For now I'm switching back to a simplified makefile. Once I figure out what's causing this issue, I'll switch it back.",C++
"Okay, fuck it. For now I'm switching back to a simplified makefile. Once I figure out what's causing this issue, I'll switch it back.",C++
Fix 'mail' gem dependency hell. Update gems.,Ruby
Fix 'mail' gem dependency hell. Update gems.,Ruby
"Merge branch 'master' into social * master: Fixing hub url change subscription. Adding failed push feeds to munin. Showing correctly real-time status if feed is push. Showing correct real-time status if feed is push. Emergency fix to not have to reverse url in task fetchers. Setting up push feeds for removal. Adding munin graph for pushed feed queue and nginx conf. Logging real-time. Resubscribing to real-time feeds on add/remove feed. Adding push feeds queue. Ignoring fat ping, since it might not match URLs. Cleanup Forgive push subscription errors. Adding # of push feeds to munin. Correcting a double-encoding bug for story permalinks that was from way back when. Fixing the shit out of the feed fetcher's deleted feed handling. Also fixing PuSH support to correctly give parameters to PuSH server. Checking for push hub links safetly. Adding subscription callbacks for PuSH. Stubbing in PuSH support. Need to work it in with Feeds and upgrade rel='hub'. Conflicts: apps/reader/models.py media/js/newsblur/reader/reader.js settings.py utils/feed_fetcher.py",JavaScript
Replaced crappy beat detection with a simple peak/volume detector,F#
"Core/DBLayer: Fix my typo. Fucking automerge. My fail. Tested, it's ok.",C++
* FEATURE: Ctrl-Tab/Ctrl-Shift-Tab to change current tab (little line in changelog but huge amount of changes and researches... damned WinAPI) * FEATURE: possibility to copy only some part of file path (additional parameter in plugin call) * Docs updated * Message box on invalid parameter internal: * SetCurrentPage method for TPageDlg * Parameter Forced in SetValues * Edit control subclassing removed (changed to MainDlg.OnBeforeMessage) * Rename is performed right after key press (no message posting),Delphi
Added some shit.,C++
WTF random Android files! Why so many?!?,JavaScript
Doc hell,Groovy
fuck,Objective-C
Optimize the shit out of stack() and tile(). Adjust keybindings.,C
ass: fix aspect ratio computation.,C
patched this fucking gem to not override a common calss name like event,Ruby
wtf heroku,Ruby
"Safer error handling when parsing stack traces to prevent the entire process from taking a shit, should fix #2",JavaScript
fuck toilets,Objective-C
Fixed WOComponent creation to not have brain dead defaults because the Issue #42 changes fucked it up.,Java
screwed up the -f option,Perl
Created AppSettings code. UI is next. screw you plists,Objective-C
Again. Screw you plists… now it has correct values,Objective-C
"This commit has the following changes/additions: + Completely rewired and operational. + Simulates in ISIM. Haven't done any test runs, but the injection buffers are still getting the packets from the TG. + Did a quick (somewhat pointless) Synthesis with the code redesign in the CU. It does synthesis but with a shit ton of warnings. This could be due to the fact that I don't have everything fully operational yet in the CU. + VC Buffers and RSV along with Scheduler Buffers have been increased in size to accomodate the 8-bit addressing scheme we're doing. + Removed RoutingTable and AddressLookUpTable from the design. Signed-off-by: koru <krikorh@unlv.nevada.edu>",VHDL
wtf 20111107 Closes #11274. Signed-off-by: Adam Vandenberg <flangy@gmail.com>,Ruby
"fix the simple syntax checking of shader files in the new renderer, add it to the old renderer previously, an early EOF (before the appropriate closing braces) was not deemed as wrong, making it relatively easy for broken shader files to fuck up a lot of shaders from other files",C
Released WTF r1d,Java
insert for program now works and looks damn good :),PHP
fuck i'm drunk,Lua
WTF: Old chests,Java
Committing workspace crap,Objective-C
WTF: Fixed minecart chests,Java
WTF: Added option to show mob ids,Java
Updated templates. Added zoom/fade transition when selecting template. Why this fucking GitHub git client must deselect everything when committing is madness to me..,Objective-C
Cleaned shit up,Java
"Revert ""Merge with upstream"" This reverts commit 6efdce541e4fd98b0a9d46b3388b25c0aebbede9. Looks like I screwed up things about the shared submodule with that commit",Java
Merge pull request #56 from sletuffe/master Looks like I screwed up things about the shared submodule with that commit,Java
"Tons of test simplifications, and switch to cppunit. CppTest sucked, it was a bear of a time getting the damn output to actually work, and then it didn't handle fricking *uncaught exceptions* thrown from a test. In a c++ testing framework! Madness.",C++
damn,VimL
Released WTF r1c,Java
don't call ssh-add. Was causing weird shit,VimL
"Replace ""&"" with ""and"" Use spaces instead of tabs (WTF)",JavaScript
GO AWAY STUPID ASS FILE,C++
Stop shit from crashing all the time,Java
lots of shit,Ruby
Fixed chrome shit,JavaScript
"Damn IE6, totally eliminated!",PHP
"Use coffeescript for the main javascript file, no more function return hell",C++
some more shit,C++
Damn non-determinism!,Ruby
done shit,Java
fucking drag order,JavaScript
some useless shit (again),C++
"Changed the ArrayList<Event> to a EventList that extends an ArrayList<Event> *Added a lot of useful method to deal with the events *Moved the ojn fixlongnotes to the EventList fixEventList: Just a copy of the fix before done, I've to work more on this... Also convert all the events in the autoplay channel to normal events and deletes the longnotes end *Moved the channelMirror, channelShuffle and channelRandom to EventList *The BMSWriter is almost done (i hope) It's broken still but at least makes some playable chart (until it screw up and everything breaks XD) Because of the changes done, all the parsers will parse the raw data so they will keep the longnotes on the autoplay channel, etc. This is because we can now let other coders to work on, for example, an editor :D",Java
move crap from server/ to ./,JavaScript
REST Typed Traverser - using test version 0.0.1.5-SNAPSHOT of java-rest-binding - bumped this preview version to 0.0.0.2.0-SNAPSHOT - added OldTraverserWrapper in Java (crap) - adopted traverser,Scala
move crap into java and web directories,JavaScript
Minor bullshit,Java
move crap into python directory,JavaScript
Minor crap to solve.,Java
HOLY FUCK I FIXED IT,VimL
"Holy shit, batman.",JavaScript
Damn Java's pass-by-reference semantics...,Java
Done some shit,Java
fuck,C
"Renamed include, bad file name... shit",JavaScript
"Item10657: * don't store catchall, just index it * make all language specifc fields dynamic fields * removing sharedLibs from solr.xml as it defeats any other <lib dir=""..."" /> definitions in solrconfig.xml (wtf) * simplifying class path definition in solrconfig.xml * CONTENT_LANGUAGE now defaults to 'detect' instead of 'en' * added automatic language detection in case CONTENT_LANGUAGE is unset or equals 'detect' * added velocity template handler to browse content on the solr server directly * use text field for highlightning instead of catchall (must be a stored field, which catchall isn't anymore) * replaced contributor facet with author facet in default SolrSearch interface (makes more sense most of the time) git-svn-id: http://svn.foswiki.org/trunk@14470 0b4bb1d4-4e5a-0410-9cc4-b2b747904278",JavaScript
Fixed a shit load of new JSHint errors after setting white back to true. At the same place it was when it was at false.,JavaScript
545's shit 55555,Java
gitignore fuck,C
"Item10657: * don't store catchall, just index it * make all language specifc fields dynamic fields * removing sharedLibs from solr.xml as it defeats any other <lib dir=""..."" /> definitions in solrconfig.xml (wtf) * simplifying class path definition in solrconfig.xml * CONTENT_LANGUAGE now defaults to 'detect' instead of 'en' * added automatic language detection in case CONTENT_LANGUAGE is unset or equals 'detect' * added velocity template handler to browse content on the solr server directly * use text field for highlightning instead of catchall (must be a stored field, which catchall isn't anymore) * replaced contributor facet with author facet in default SolrSearch interface (makes more sense most of the time) git-svn-id: http://svn.foswiki.org/trunk/SolrPlugin@14470 0b4bb1d4-4e5a-0410-9cc4-b2b747904278",Perl
"I dunno man, some crazy shit's goin on in this code.",Java
Merge pull request #7 from wmernagh/wm-remove_unwanted_crap Wm remove unwanted crap,VimL
Merge pull request #4 from whoseyourdady/master 545's shit,Java
A lot of good stuff wich i can't remerber... despite of my amazing fucking memory (because of my lazyness actually).,Java
regexp the crappy tags away,Python
Screw portability: using customFds.,JavaScript
WTF: Animal panic is now on by default,Java
WTF: Fixed iron shovel crash with 2d items,Java
skip some loot checks for faster startup on my crappy testing notebook,C++
Released WTF r1b,Java
Removed samsung crap for DVFS into initramfs thanks to Entropy512,C
"Added crappy test, fixed emit bindings",CoffeeScript
WTF: Fixed old fire,Java
Fix spacing screw-up,PHP
remove crap,JavaScript
"damn, test flakiness",Python
Fixed another case. shit.,PHP
Escape dependency hell by removing padrino/rails from gemfile,Ruby
"add excellent, so good, so fucking good to +1 phrases",CoffeeScript
"GUI starts to show meetings. Drawing is still incorrect, and swing is just fucking horrible at redrawing stuff.",Java
Crappy ASCII (utf-8) diagram,Ruby
Spell the damn word correctly,Ruby
"removed font declarations on _s code, because why the hell would you want a default there other than normalize?",PHP
HOLY CRAP IT RUNS,C++
styling changes and shit,Python
removing bullshit,Ruby
rid of more redundant css crap,PHP
stupid fucking piece of shit,Perl
Prevent E_NOTICE on feeds w/o etag/last_modified Merge remote-tracking branch 'Mark-H/bug-magpie-e_notice' into release-2.2 * Mark-H/bug-magpie-e_notice: Fix spacing screw-up Prevent E_NOTICE error when using a feed that doesn't have an etag or last_modified date set.,PHP
fixed lot of little shit,C#
in short a big fucking headache,PHP
"resolved weird thing. For some reason, there was a <<<<<<head added to line 531 in the XML file of storyboards. WTF",Objective-C
"remove shit, gitignore modified",C
only major flaw is a new User logging in and signing up with FB. And the CSS bullshit,Ruby
"Have a fully working login page, now to fix that god damn 403 error",Python
Fix a damn typo error,Python
testing crap,PHP
Added a shitty readme,Ruby
Added a shitty readme,Ruby
fucked up physics. but it's gonna worth it in the end,Lua
Removed shitty ass files,C++
"cleaner, with fix for ssl crap.",Perl
fuck git,Java
Fixing the shit out of the feed fetcher's deleted feed handling. Also fixing PuSH support to correctly give parameters to PuSH server.,JavaScript
shit almost working,C++
Fixed crap,Java
Commiting this shit,JavaScript
fuck!!!!,C++
"Change device manager to not allow attachment point flapping (there was a bug in the implementation before). Also, remove some crappy info log from ForwardingBase.",Java
Set SKIP_INSTALL on release builds to NO so we can actually archive the damn thing.,Objective-C
WTF random Android files! Why so many?!?,JavaScript
updated README with license for the express purpose of covering my ass,Java
"some more of ex26, damn this is long",C
"this is everything, minus that shitty css file.",Ruby
wtf?,C++
3級 (Third Level) Kanji added - Typed out all the 3rd level Kanji. It once again sucked. - Input now has all non-Kanji characters filtered out before checking what Level the valid Kanji are.,Haskell
- damn classloader :),Java
"Major update -- added a UI, added very crappy and early claim matching code, added other things too I'm sure",PHP
Removed some legacy WTF-worthy code.,Python
I don't need to know the seconds in RPROMPT. So screw that,Shell
crap,C
Minor view shit,Ruby
fixed up merge shit,Python
screwed up,Ruby
"Fixed the build to work on Mac OS X Went back to a non-module based build of the final library. This means there won't be a bunch of mgine-<module-name>-module libraries, and just ONE mgine library. Also discovered that running the --analyze switch for clang will simply output text to a file, which ar and ranlib will happily concatenate. Fun times! I've decided to NOT use the -Wshadow warning for now, as it causes issues with my current naming conventions (where I do something like auto dat = this->dat; and any future references to dat will refer to the one most recently declared). However if it turns out that the compiler is free to do whatever it wants, I'm going to have to come up with better naming conventions, and then enable the setting. Still on the TODO is to add some cppcheck and clang static analyzer targets as part of the POST_BUILD process. I'm sure at some point I'll have something in place to write it to a file, or to display within vim or whatever. I'm still looking into additional static analysis tools, and I'm curious to see if there's a way to run it on OpenCL kernels, which would be VERY useful. I've unfortunately had to disable the header check on OS X, as it doesn't seem to work right. I've also temporarily disabled the python check as no tools (aside from *maybe* sphinx, but that is something different) currently depend on it. I think only a little bit more time is needed to get the CMake files up to where I would like them to be, however, I'll be adding CPack into the mix soon (for deb, rpm, os x installers, nsis etc.) for distribution, so that I can simply give out a precompiled setup for a developer. I wish CPack had WiX support, as I really do like the features that an MSI file provides (not to mention its a bit easier overall :P), but NSIS will have to do for now, I suppose. I'm sort of waiting on CMake 2.8.8 for the CPack features however, as it lets me make an MGineConfig.cmake file that gets distributed which will make developing something that uses the mgine a hell of a lot simpler. I have to say, I still don't *like* CMake, but once you find a few functions and notice yourself doing stuff quite often, easing the pain becomes a bit simpler. I do wish there was a better language available (at least tcl, or something), but I guess we're stuck with it. It's still a hell of a lot better than autohell though! :v",C++
Got rid of unneeded session starts (these may come back to bite us in the ass later). Added a course landing page (just click courses without actually selecting a specific course). Added new stored procs to get the instructors name based upon his/her id in the course result set that we grab. -awardi,JavaScript
"Man, fuck Heroku!",Ruby
what the hell was I thinking?,PHP
WTF: Fixed old armor and swords using callbacks,Java
more fucking animation work,C++
fucking small dick,VimL
underscore fucked,Lua
"woop. it appears that most viewed files/images thing works. Well, now I gotta work through this clusterfuck of return-through-callback shit to figure out how to do it with list of files.",JavaScript
Wtf?,JavaScript
forgot the json. damn. refs #12,JavaScript
Adding critical security patch to let you all know I'm on top of this shit. add 'nyan' to your plugins... then run for security upgrade.,Shell
"updated the .gitignore file again. Damn, I dont see things should see...",Java
do away wth #docs for now to simplify stuff for tomorrow,JavaScript
Cleaned up some crap I gave up caring about,Perl
Implemented shitty-first-draft of cascading updates of repeating events,Python
deleted a lot of crap,Ruby
Moving the sources plugin to proper lifecycle. Was: WTF???,Java
"div. fixes, wtf is this mess anyways?",PHP
wtf not staged some changes. silly me,Erlang
"Make a seemingly tiny change to the inliner and fix the generated code size bloat. Unfortunately, I expect this to disable the majority of the benefit from r152737. I'm hopeful at least that it will fix PR12345. To explain this requires... quite a bit of backstory I'm afraid. TL;DR: The change in r152737 actually did The Wrong Thing for linkonce-odr functions. This change makes it do the right thing. The benefits we saw were simple luck, not any actual strategy. Benchmark numbers after a mini-blog-post so that I've written down my thoughts on why all of this works and doesn't work... To understand what's going on here, you have to understand how the ""bottom-up"" inliner actually works. There are two fundamental modes to the inliner: 1) Standard fixed-cost bottom-up inlining. This is the mode we usually think about. It walks from the bottom of the CFG up to the top, looking at callsites, taking information about the callsite and the called function and computing th expected cost of inlining into that callsite. If the cost is under a fixed threshold, it inlines. It's a touch more complicated than that due to all the bonuses, weights, etc. Inlining the last callsite to an internal function gets higher weighth, etc. But essentially, this is the mode of operation. 2) Deferred bottom-up inlining (a term I just made up). This is the interesting mode for this patch an r152737. Initially, this works just like mode #1, but once we have the cost of inlining into the callsite, we don't just compare it with a fixed threshold. First, we check something else. Let's give some names to the entities at this point, or we'll end up hopelessly confused. We're considering inlining a function 'A' into its callsite within a function 'B'. We want to check whether 'B' has any callers, and whether it might be inlined into those callers. If so, we also check whether inlining 'A' into 'B' would block any of the opportunities for inlining 'B' into its callers. We take the sum of the costs of inlining 'B' into its callers where that inlining would be blocked by inlining 'A' into 'B', and if that cost is less than the cost of inlining 'A' into 'B', then we skip inlining 'A' into 'B'. Now, in order for #2 to make sense, we have to have some confidence that we will actually have the opportunity to inline 'B' into its callers when cheaper, *and* that we'll be able to revisit the decision and inline 'A' into 'B' if that ever becomes the correct tradeoff. This often isn't true for external functions -- we can see very few of their callers, and we won't be able to re-consider inlining 'A' into 'B' if 'B' is external when we finally see more callers of 'B'. There are two cases where we believe this to be true for C/C++ code: functions local to a translation unit, and functions with an inline definition in every translation unit which uses them. These are represented as internal linkage and linkonce-odr (resp.) in LLVM. I enabled this logic for linkonce-odr in r152737. Unfortunately, when I did that, I also introduced a subtle bug. There was an implicit assumption that the last caller of the function within the TU was the last caller of the function in the program. We want to bonus the last caller of the function in the program by a huge amount for inlining because inlining that callsite has very little cost. Unfortunately, the last caller in the TU of a linkonce-odr function is *not* the last caller in the program, and so we don't want to apply this bonus. If we do, we can apply it to one callsite *per-TU*. Because of the way deferred inlining works, when it sees this bonus applied to one callsite in the TU for 'B', it decides that inlining 'B' is of the *utmost* importance just so we can get that final bonus. It then proceeds to essentially force deferred inlining regardless of the actual cost tradeoff. The result? PR12345: code bloat, code bloat, code bloat. Another result is getting *damn* lucky on a few benchmarks, and the over-inlining exposing critically important optimizations. I would very much like a list of benchmarks that regress after this change goes in, with bitcode before and after. This will help me greatly understand what opportunities the current cost analysis is missing. Initial benchmark numbers look very good. WebKit files that exhibited the worst of PR12345 went from growing to shrinking compared to Clang with r152737 reverted. - Bootstrapped Clang is 3% smaller with this change. - Bootstrapped Clang -O0 over a single-source-file of lib/Lex is 4% faster with this change. Please let me know about any other performance impact you see. Thanks to Nico for reporting and urging me to actually fix, Richard Smith, Duncan Sands, Manuel Klimek, and Benjamin Kramer for talking through the issues today.",C++
